title,price,address,latitude,longitude,description,room_size,furnished,private_bathroom,individual_or_double,room_position,rooms_available,flat_size,number_of_bathrooms,elevator,pool,terrace,washer_machine,dryer_machine,air_conditioning,heating,internet,tv,storage,flat_condition,pets_allowed,couples_allowed,smoking_allowed,original_file,date
habitación en alquiler en raval-santa rosa-safaretjos,450.0,"c/ pirineus núm. 104,                                                                                                                              raval-santa rosa-safaretjos,                                                                                                                             santa coloma de gramenet",41.4464 ,2.2184794,alquilo una habitación individual para una persona preferiblemente chica que sea ordenada y limpia interesadas me pueden contactar,medium,False,False,True,exterior,1,32.0,1,False,False,False,False,False,False,False,False,False,False,good,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación en alquiler en la creu de barberà,300.0,"c/ reis catòlics núm. 127,                                                                                                                              la creu de barberà,                                                                                                                             sabadell",41.523617 ,2.115299,"somos una pareja que vivimos en un piso de tres habitaciones, alquilamos una buscamos persona limpia y ordenada , está todo incluido en el precio, hay wifi, se puede fumar, no se aceptan mascotas , tenemos dos gatos, no hay ascensor.  si quieres ver fotos háblame por wsp . 654059748",medium,False,False,True,exterior,1,90.0,1,False,False,False,False,False,False,False,False,False,False,good,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación en alquiler en ca n''anglada,400.0,"c/ sant damià núm. 268,                                                                                                                              ca n'anglada,                                                                                                                             terrassa",41.565895 ,2.0301566,"se alquila habitación nueva a estrenar totalmente amueblada, con cama de 135 y smart tv. luminosa y amplia, situada a 10 minutos de la upc, uoc, uab, vapor universitari de terrassa y la facultad de optica y optometria. rodeada de buenos restaurantes, supermercados y comercios de todo tipo.muy bien comunicada, cerca de estaciones de trenrenfe (vallparadis universitat y terrassa est) y de paradas de bus.la vivienda está totalmente reformada y amueblada lista para entrar a vivir, dispone de lavadora, secadora, nevera, horno, placa de vitrocerámica, microondas, batidora, platos, tenedores, cuchillos, vasos, herramientas de cocina, toallas, etc. la cama y todo el mobiliario, es totalmente nuevo a estrenar.los pomos de todas las habitaciones disponen de cerradura y clave privada para poder garantizar la seguridad de todo lo que tengas en tu habitación.el precio de la habitación incluye una smart tv y también viene incluido el servicio de limpieza de las zonas comunes 2 veces al mes.los gastos de wi-fi, agua, electricidad y gas se dividirán proporcionalmente entre todos los inquilinos.",medium,False,False,True,exterior,1,60.0,1,False,False,False,False,False,False,False,False,False,False,refurbished,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación en alquiler en poble nou,450.0,"c/ doctor esteve núm. 8,                                                                                                                              poble nou,                                                                                                                             manresa",41.7321 ,1.82501,"se alquilan habitaciones, son doble de más de 12m2, equipada con cama de 1,60x2,00m, tv de 32 pulgadas, armario y escritorio. el piso tiene un total de 6 habitaciones y 2 baños, cocina, zona de lavandería y esta nuevo a estranar. gastos incluidos (agua, luz, gas y fibra óptica).",medium,True,False,True,exterior,1,120.0,2,False,False,False,False,False,False,False,False,False,False,,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación en alquiler en sant cosme-la granja,450.0,"c/ riu anoia núm. 23,                                                                                                                              sant cosme-la granja,                                                                                                                             el prat de llobregat",41.316055 ,2.0830314,"habitación doble luminosa disponible a partir de 6. mayo, 2024 para 1 chica sola trabaja en el aeropuerto, piso limpio y tranquilo, compartir con 2 compañeras super simpáticas. contactarémos por whatsapp 655979264 si tiene interesa,   muchas gracias!!",medium,False,False,True,exterior,1,104.0,1,False,False,False,False,False,False,False,False,False,False,refurbished,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación en alquiler en collblanc,440.0,"collblanc,                                                                                                                             l'hospitalet de llobregat",41.3734906 ,2.1125364,"habitación amueblada y exterior. cama individual, armario de dos puertas, mesita noche, escritorio y silla",medium,False,False,True,exterior,1,8.0,2,False,False,False,False,False,False,False,False,False,False,good,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación en alquiler en ciutat cooperativa-molí nou,375.0,"ciutat cooperativa-molí nou,                                                                                                                             sant boi de llobregat",41.357357291 ,2.031441596,"se alquila habitación con cama de matrimonio sofá mesa 2 sillas armario , con derecho a cocina y baño, el precio es de una persona si son dos el precio seria 500€ esta en la mejor zona de ciudad cooperativa molinou, cerca de comercio mercado hospital.",medium,False,False,True,exterior,1,80.0,0,False,False,False,False,False,False,False,False,False,False,good,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación en alquiler en poble nou-zona olímpica,300.0,"poble nou-zona olímpica,                                                                                                                             terrassa",41.5779149 ,2.0011389,"se alquila habitacion individual con salida a lavadero, baño completo y cocina a compartir - entrega inmediata",medium,False,False,True,exterior,1,10.0,1,False,False,False,False,False,False,False,False,False,False,good,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación individual en plaça de mallorca 1,365.0,"pza. mallorca núm. 1,                                                                                                                              ctra. de santpedor-bases de manresa,                                                                                                                             manresa",41.73338 ,1.8316559,"habitacion muy amplia, escritorio, armario y cama de 105. mucha luz. vistas. compartido piso con dos chicas de 21 años .ambiente muy tranquilo. admiten visitas de amigos/as. comedor amplio. cocina en buen estado.",large,True,False,True,exterior,4,95.0,2,True,False,False,True,False,False,False,True,True,False,good,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación individual en carrer de les agudes 134,320.0,"c/ agudes núm. 140,                                                                                                                             ciutat meridiana,                                                                                                                             barcelona capital",41.461098 ,2.172369,"se busca chica para alquilar habitación (somos dos chicas) sería y responsable, se alquila con derecho a usar el resto del piso por supuesto y con unas normas de convivencia. se piden 2 meses de fianza por adelantado . alquiler: una chica sola 310€// dos chicas 350€. la superficie es 3'50 x3.  no se aceptan perros o gatos, tenemos un bichón maltés que está viejo y es bueno. más info 644748476",medium,True,False,True,exterior,3,54.0,1,False,False,False,True,False,False,False,True,False,False,good,,,False,pisocompartido_20240505_raw.json,2024-05-05
